Gender,Name,First Name,Last Name,Date of Birth,City,State,Country,Postcode,Country Code (nat),Phone,Email,Picture Large
male,Mr,Luukas,Leinonen,1946-10-25T00:25:23.884Z,Raahe,Northern Ostrobothnia,Finland,94164,FI,06-650-936,luukas.leinonen@example.com,https://randomuser.me/api/portraits/men/28.jpg
male,Mr,Henry,Jama,1969-06-30T22:31:01.094Z,Farsund,Hordaland,Norway,7443,NO,84205695,henry.jama@example.com,https://randomuser.me/api/portraits/men/14.jpg
male,Mr,Philippe,Park,1960-05-14T19:51:20.597Z,Clinton,Nunavut,Canada,M8T 6M7,CA,U56 Z02-9662,philippe.park@example.com,https://randomuser.me/api/portraits/men/47.jpg
male,Mr,Ricky,Watson,1998-08-13T21:55:58.482Z,Hartford,Nebraska,United States,61653,US,(781) 257-2253,ricky.watson@example.com,https://randomuser.me/api/portraits/men/68.jpg
male,Mr,Emilio,Villanueva,1956-05-06T02:40:36.692Z,Rodríguez Clara,Michoacan,Mexico,94952,MX,(648) 573 6665,emilio.villanueva@example.com,https://randomuser.me/api/portraits/men/99.jpg
male,Mr,Simon,Brar,1989-05-13T02:10:19.138Z,Delisle,Northwest Territories,Canada,A7C 4O7,CA,M64 X88-1680,simon.brar@example.com,https://randomuser.me/api/portraits/men/48.jpg
female,Miss,Oya,Alpuğan,1981-03-05T19:32:35.300Z,Rize,Batman,Turkey,43220,TR,(483)-125-6663,oya.alpugan@example.com,https://randomuser.me/api/portraits/women/65.jpg
male,Mr,Vedat,Aşıkoğlu,1987-12-17T08:00:57.737Z,Ardahan,Çanakkale,Turkey,50737,TR,(135)-539-5335,vedat.asikoglu@example.com,https://randomuser.me/api/portraits/men/37.jpg
female,Mrs,Osnaura,Pinto,1990-08-11T01:40:21.695Z,Tatuí,Pernambuco,Brazil,46387,BR,(37) 0783-5640,osnaura.pinto@example.com,https://randomuser.me/api/portraits/women/32.jpg
male,Mr,Clayton,Austin,1985-04-26T08:39:09.861Z,Wells,County Londonderry,United Kingdom,W1 2NH,GB,016977 2730,clayton.austin@example.com,https://randomuser.me/api/portraits/men/9.jpg
female,Miss,Lucy,Watson,1989-03-09T11:29:17.167Z,Stirling,Cleveland,United Kingdom,HR7 3AU,GB,016974 23980,lucy.watson@example.com,https://randomuser.me/api/portraits/women/42.jpg
male,Mr,Desimir,Popović,1951-10-25T22:08:38.501Z,Čoka,South Banat,Serbia,30547,RS,022-4941-154,desimir.popovic@example.com,https://randomuser.me/api/portraits/men/97.jpg
male,Mr,Babür,Tekelioğlu,1960-06-07T12:08:41.726Z,Gaziantep,Erzurum,Turkey,76085,TR,(900)-485-2410,babur.tekelioglu@example.com,https://randomuser.me/api/portraits/men/66.jpg
